Numbers	Names	Types	No_Tones	Register	Harmonicity	Roughness	Sharpness
1	"G-B-D"	"major"	3	"high"	0.778563055454849	0.414926247201997	0.861239575731228
2	"G#-C-D#"	"major"	3	"high"	0.762524925161712	0.232629513541202	0.84312604514686
3	"A-C#-E"	"major"	3	"high"	0.751756746089855	0.271381055034693	0.904178360705998
4	"A#-D-F"	"major"	3	"high"	0.760618900465495	0.307036957976501	0.909609190746432
5	"B-D#-F#"	"major"	3	"high"	0.749384865538669	0.157801022627127	0.932015406175013
6	"C-E-G"	"major"	3	"high"	0.720400840475039	0.305452251069335	0.858519682310656
7	"C#-F-G#"	"major"	3	"high"	0.744282469575434	0.213279096028401	0.911564263824926
8	"D-F#-A"	"major"	3	"high"	0.773677778755138	0.154748994148065	0.877118302293868
9	"D#-G-A#"	"major"	3	"high"	0.614231496655015	0.121838502507648	0.929757590353562
10	"E-G#-B"	"major"	3	"high"	0.647659365793675	0.161476663616325	0.979291171086172
11	"F-A-C"	"major"	3	"high"	0.638699477062233	0.178148861454588	0.93629992045304
12	"B-D-G"	"major"	3	"high"	0.612819864376204	0.185910568421788	1.00318502501101
13	"C-D#-G#"	"major"	3	"high"	0.722088471685299	0.264179446699166	0.900263780198462
14	"C#-E-A"	"major"	3	"high"	0.734246506605504	0.270920271187252	0.884290592093611
15	"D-F-A#"	"major"	3	"high"	0.734405366308821	0.247287987956105	0.869188763883632
16	"D#-F#-B"	"major"	3	"high"	0.774981113305187	0.171229034171578	0.880423200993689
17	"E-G-C"	"major"	3	"high"	0.616890061906132	0.0998260548991426	0.9166340448287
18	"F-G#-C#"	"major"	3	"high"	0.602316472900971	0.172347783387031	0.93584226343243
19	"F#-A-D"	"major"	3	"high"	0.691922157516783	0.269088111902412	0.967294235179742
20	"G-A#-D#"	"major"	3	"high"	0.568483300578388	0.248051297116852	1.03376050261279
21	"G#-B-E"	"major"	3	"high"	0.595500336384488	0.443366980204345	1.0348010988335
22	"A-C-F"	"major"	3	"high"	0.587721136555281	0.1584471484347	1.04688418918336
23	"D-G-B"	"major"	3	"high"	0.600214643796034	0.161726890120051	1.02397177304652
24	"D#-G#-C"	"major"	3	"high"	0.559083975025731	0.332465608579671	1.14603144466053
25	"E-A-C#"	"major"	3	"high"	0.758630591666888	0.116700288975738	0.885443410937169
26	"F-A#-D"	"major"	3	"high"	0.733041434962212	0.0777929528973449	0.938914781840151
27	"F#-B-D#"	"major"	3	"high"	0.726022056608322	0.197611833475853	0.94954994808529
28	"G-C-E"	"major"	3	"high"	0.732717942391428	0.17577148296041	1.07059882966183
29	"G#-C#-F"	"major"	3	"high"	0.769492486604805	0.102918141647221	1.00490662698779
30	"A-D-F#"	"major"	3	"high"	0.579262947074946	0.128223963186518	0.995615222012237
31	"A#-D#-G"	"major"	3	"high"	0.521852642825986	0.321012849441349	1.04665932803633
32	"B-E-G#"	"major"	3	"high"	0.552735001261277	0.209038866607873	1.09579580069596
33	"C-F-A"	"major"	3	"high"	0.518091302503959	0.194036286811457	1.16918854384012
34	"G-A#-D"	"minor"	3	"high"	0.54922778434245	0.142947473601756	1.1804706647258
35	"G#-B-D#"	"minor"	3	"high"	0.579349274408091	0.188153322563624	1.21906235639056
36	"A-C-E"	"minor"	3	"high"	0.527191868731564	0.189409790322956	1.25499946826679
37	"A#-C#-F"	"minor"	3	"high"	0.711663011456335	0.588039423677073	0.879900904747174
38	"B-D-F#"	"minor"	3	"high"	0.618352375203732	0.217004892135714	0.907952329205826
39	"C-D#-G"	"minor"	3	"high"	0.573695977849537	0.398917547651609	0.896753374556034
40	"C#-E-G#"	"minor"	3	"high"	0.575764309691454	0.373393314987665	0.951746019810692
41	"D-F-A"	"minor"	3	"high"	0.62776184121389	0.226941283646488	0.897864430937642
42	"D#-F#-A#"	"minor"	3	"high"	0.595535962186291	0.207113757806768	0.850559971834684
43	"E-G-B"	"minor"	3	"high"	0.574206226404222	0.181361490157995	0.903154144277301
44	"F-G#-C"	"minor"	3	"high"	0.616316178757531	0.245971584832452	0.877134797904209
45	"A#-D-G"	"minor"	3	"high"	0.649340966427055	0.12182935046205	0.923110011209196
46	"B-D#-G#"	"minor"	3	"high"	0.632418416293767	0.217261302236503	0.950898076869883
47	"C-E-A"	"minor"	3	"high"	0.626291393913591	0.172508712000947	0.974638374470426
48	"C#-F-A#"	"minor"	3	"high"	0.606498706504419	0.177627902434055	0.961671988259703
49	"D-F#-B"	"minor"	3	"high"	0.534135213283775	0.319913659558372	0.915401766183872
50	"D#-G-C"	"minor"	3	"high"	0.53952805916708	0.165701291682282	0.945343009604657
51	"E-G#-C#"	"minor"	3	"high"	0.543798858699255	0.240546669426372	0.867367059466707
52	"F-A-D"	"minor"	3	"high"	0.573789166974572	0.157708396822731	0.914980634416493
53	"F#-A#-D#"	"minor"	3	"high"	0.590340296211501	0.095245925412819	0.876396978576339
54	"G-B-E"	"minor"	3	"high"	0.575419866297829	0.13943073145854	0.910482745535471
55	"G#-C-F"	"minor"	3	"high"	0.586023571113192	0.282300649024303	0.964213735512089
56	"D-G-A#"	"minor"	3	"high"	0.548458246418607	0.238416393421136	1.02607643452957
57	"D#-G#-B"	"minor"	3	"high"	0.583280071385913	0.158454693876225	1.01566715670188
58	"E-A-C"	"minor"	3	"high"	0.5618822153577	0.17723931955745	1.01385697895162
59	"F-A#-C#"	"minor"	3	"high"	0.55532490761487	0.150824072379947	1.04190792532766
60	"F#-B-D"	"minor"	3	"high"	0.5817804435348	0.261456806959458	1.08300089323918
