"ID"	"Sex"	"MetaPref"	"Musicianship"	"Ollen_Score"	"valence"	"chord"	"register"	"inversion"	"tension"	"energy"	"consonance"	"preference"
"S1"	"female"	"ReflectiveAndComplex"	"Musician"	992	7	"Major"	"High"	"Root"	1	4	6	3
"S2"	"male"	"IntenseAndRebellious"	"Non-musician"	100	5	"Major"	"High"	"Root"	3	4	4	3
"S3"	"male"	"ReflectiveAndComplex"	"Musician"	991	6	"Major"	"High"	"Root"	3	4	6	4
"S4"	"female"	"ReflectiveAndComplex"	"Musician"	979	7	"Major"	"High"	"Root"	2	2	7	6
"S5"	"female"	"IntenseAndRebellious"	"Non-musician"	268	5	"Major"	"High"	"Root"	3	3	5	6
"S6"	"male"	"ReflectiveAndComplex"	"Musician"	622	4	"Major"	"High"	"Root"	1	4	7	4
"S7"	"female"	"EnergeticAndRhythmic"	"Non-musician"	145	5	"Major"	"High"	"Root"	2	4	6	6
"S8"	"female"	"IntenseAndRebellious"	"Musician"	921	6	"Major"	"High"	"Root"	4	5	4	3
"S9"	"female"	"ReflectiveAndComplex"	"Non-musician"	154	7	"Major"	"High"	"Root"	4	6	7	4
"S10"	"female"	"ReflectiveAndComplex"	"Musician"	775	4	"Major"	"High"	"Root"	1	1	7	1
"S11"	"female"	"EnergeticAndRhythmic"	"Non-musician"	279	6	"Major"	"High"	"Root"	4	5	5	1
"S12"	"male"	"UpbeatAndConventional"	"Musician"	656	7	"Major"	"High"	"Root"	2	7	6	6
"S13"	"male"	"ReflectiveAndComplex"	"Non-musician"	250	4	"Major"	"High"	"Root"	4	4	5	4
"S14"	"male"	"ReflectiveAndComplex"	"Musician"	897	5	"Major"	"High"	"Root"	5	5	7	6
"S15"	"female"	"ReflectiveAndComplex"	"Musician"	996	6	"Major"	"High"	"Root"	4	6	7	4
"S16"	"male"	"IntenseAndRebellious"	"Non-musician"	292	6	"Major"	"High"	"Root"	3	6	4	4
"S17"	"male"	"ReflectiveAndComplex"	"Non-musician"	381	6	"Major"	"High"	"Root"	2	4	6	3
"S18"	"male"	"UpbeatAndConventional"	"Musician"	769	5	"Major"	"High"	"Root"	2	5	6	3
"S19"	"male"	"EnergeticAndRhythmic"	"Musician"	978	4	"Major"	"High"	"Root"	4	4	4	4
"S20"	"female"	"UpbeatAndConventional"	"Non-musician"	88	7	"Major"	"High"	"Root"	1	4	7	7
"S21"	"male"	"ReflectiveAndComplex"	"Musician"	981	7	"Major"	"High"	"Root"	1	1	7	7
"S22"	"female"	"ReflectiveAndComplex"	"Musician"	908	7	"Major"	"High"	"Root"	3	4	7	5
"S23"	"female"	"UpbeatAndConventional"	"Non-musician"	98	6	"Major"	"High"	"Root"	3	5	7	5
"S24"	"female"	"UpbeatAndConventional"	"Non-musician"	164	5	"Major"	"High"	"Root"	2	2	5	3
"S25"	"female"	"UpbeatAndConventional"	"Non-musician"	420	5	"Major"	"High"	"Root"	4	5	4	4
"S26"	"female"	"ReflectiveAndComplex"	"Non-musician"	72	6	"Major"	"High"	"Root"	2	5	6	6
"S27"	"male"	"ReflectiveAndComplex"	"Musician"	737	7	"Major"	"High"	"Root"	1	1	6	1
"S28"	"male"	"ReflectiveAndComplex"	"Non-musician"	74	6	"Major"	"High"	"Root"	3	4	6	4
"S29"	"female"	"UpbeatAndConventional"	"Non-musician"	295	7	"Major"	"High"	"Root"	2	4	4	4
"S30"	"female"	"UpbeatAndConventional"	"Musician"	712	5	"Major"	"High"	"Root"	2	5	6	5
"S31"	"female"	"ReflectiveAndComplex"	"Non-musician"	116	7	"Major"	"High"	"Root"	2	5	7	4
"S32"	"female"	"ReflectiveAndComplex"	"Musician"	688	7	"Major"	"High"	"Root"	1	4	7	6
"S33"	"female"	"ReflectiveAndComplex"	"Non-musician"	55	6	"Major"	"High"	"Root"	5	5	5	3
"S34"	"female"	"ReflectiveAndComplex"	"Musician"	953	5	"Major"	"High"	"Root"	2	5	7	4
"S35"	"female"	"IntenseAndRebellious"	"Non-musician"	66	4	"Major"	"High"	"Root"	3	4	5	5
"S36"	"female"	"ReflectiveAndComplex"	"Musician"	999	7	"Major"	"High"	"Root"	1	1	7	7
"S37"	"male"	"EnergeticAndRhythmic"	"Musician"	669	7	"Major"	"High"	"Root"	1	5	6	5
"S38"	"female"	"ReflectiveAndComplex"	"Non-musician"	167	6	"Major"	"High"	"Root"	3	5	6	4
"S39"	"male"	"ReflectiveAndComplex"	"Musician"	843	6	"Major"	"High"	"Root"	1	4	7	4
"S40"	"male"	"ReflectiveAndComplex"	"Non-musician"	143	5	"Major"	"High"	"Root"	3	5	4	5
"S41"	"male"	"ReflectiveAndComplex"	"Musician"	571	6	"Major"	"High"	"Root"	3	5	6	6
"S42"	"female"	"ReflectiveAndComplex"	"Non-musician"	428	5	"Major"	"High"	"Root"	1	4	7	3
"S43"	"female"	"UpbeatAndConventional"	"Non-musician"	109	5	"Major"	"High"	"Root"	3	5	4	5
"S44"	"female"	"ReflectiveAndComplex"	"Musician"	956	7	"Major"	"High"	"Root"	1	4	7	5
"S45"	"male"	"EnergeticAndRhythmic"	"Musician"	856	5	"Major"	"High"	"Root"	1	2	7	5
"S46"	"female"	"IntenseAndRebellious"	"Non-musician"	66	4	"Major"	"High"	"Root"	4	4	5	4
"S47"	"male"	"EnergeticAndRhythmic"	"Non-musician"	89	6	"Major"	"High"	"Root"	4	4	4	5
